scenario,week,p05,p10,p25,p50,p75,p90,p95
base_case,1,6.007049799774605,6.064038384906396,6.155443171831756,6.26841196696837,6.374749419828354,6.46813988154843,6.530089320362314
base_case,2,5.896880044790538,5.984527436171773,6.116430459455074,6.274781321798747,6.435748019522669,6.578027693457657,6.659778080590518
base_case,3,5.8216330741321425,5.920469379627147,6.098770472942867,6.285783132501384,6.476843966699226,6.649085558238711,6.747738652210086
base_case,4,5.770634859355378,5.879810955566054,6.073057153448897,6.292845497839744,6.509226064362896,6.702119176300558,6.817658874849519
base_case,5,5.713854254580295,5.841472291153627,6.05830474348816,6.306349605387878,6.552508284600012,6.753523051717163,6.8727222677301985
base_case,6,5.670513929465668,5.816801354198176,6.0509672025360866,6.308488264877601,6.567325499214464,6.804512495370272,6.947544553769848
base_case,7,5.652241455844743,5.803404975080408,6.045339632804762,6.320996516080967,6.58618047238381,6.847930002618027,7.004896266745661
base_case,8,5.620224025743545,5.775543543381072,6.031584474801732,6.325041909131209,6.619879746087754,6.884678672668515,7.048407088385059
base_case,9,5.580541457571073,5.751287075289302,6.023299062256617,6.331471823101701,6.636505239825613,6.907787524133204,7.069136524751503
base_case,10,5.577778731216795,5.732126942328025,6.024198535127211,6.331358036790953,6.6657207985683185,6.93999506496703,7.098359583603963
base_case,11,5.523383560361247,5.721255936137521,6.016920142129152,6.338385365108154,6.6753763791338425,6.965149984342123,7.144757538532553
base_case,12,5.515656821185266,5.7115097123066265,6.006687130593161,6.341804036526557,6.692902699226371,6.995559719551674,7.190440247173009
base_case,13,5.500306179817765,5.696243020613496,6.005801501367079,6.351838991524036,6.70582382767066,7.0246280509639725,7.210478279521315
base_case,14,5.501021027216057,5.6854636735889885,6.004808990443664,6.355294068820899,6.710544629600697,7.0589249069858,7.245245654260156
base_case,15,5.4520438007766545,5.6640327001588915,5.990573402734176,6.361309816490391,6.72220735136043,7.071197882326722,7.25782710568904
base_case,16,5.446246577414301,5.66760359378041,5.985024564658441,6.34979354054164,6.7359879277576695,7.091287857197408,7.291030239863271
base_case,17,5.447899153574374,5.658322679998874,5.987152691751094,6.36769526369722,6.755807020441253,7.106232007098538,7.30171095650757
base_case,18,5.4254660276784925,5.649760739033188,5.979508645585789,6.37460668921086,6.77243614868828,7.122370757717164,7.310887767295184
base_case,19,5.410789564866069,5.624558116996543,5.97593419439987,6.386089742787373,6.7806662508672115,7.122872052073989,7.3537706965321865
base_case,20,5.393518205144336,5.617199050641936,5.97681213860537,6.3834853327365515,6.785536118535222,7.131428655076008,7.355906892237561
base_case,21,5.40526180082024,5.612638411430327,5.9585832052696555,6.389943181196243,6.792048289791684,7.150651971229014,7.365319597977873
base_case,22,5.403140586407579,5.595856633067539,5.9753018058409655,6.385222680771347,6.8025048160662385,7.161498989533194,7.359406947375426
base_case,23,5.369062960088641,5.595831188450421,5.972968514546689,6.39920598027732,6.813163171623794,7.1664426026172,7.389058606440801
base_case,24,5.354043614559497,5.59769176875934,5.95972947370379,6.391107364692843,6.805396801261818,7.17015399063754,7.401754775560344
base_case,25,5.3575758729250404,5.5848444391687595,5.964528726118155,6.381778363097575,6.8063137745018665,7.1868211251248795,7.400681436308636
base_case,26,5.358252267763702,5.584362252525768,5.969723082366574,6.389024818512624,6.818463159840995,7.200242898814899,7.408911052311612
base_case,27,5.35886553248817,5.584509139268364,5.971964667878938,6.397755845428537,6.822187019063522,7.208701788727752,7.4404989509838035
base_case,28,5.335067535934685,5.591919877955854,5.969261445461626,6.39179515375698,6.831744022858287,7.218330443760164,7.42941866790103
base_case,29,5.333151775869578,5.580295500314886,5.9713901382731,6.402559807657437,6.844347548924647,7.223616228196363,7.45212905319189
base_case,30,5.34655129291371,5.585526175485289,5.970308693208017,6.405355987931189,6.855082898918572,7.245437654282045,7.454001584338709
base_case,31,5.34603321212105,5.588789788169444,5.981750173545546,6.415946799237457,6.855179794226102,7.252795272759181,7.480497960951085
base_case,32,5.348276259990809,5.5773348556803795,5.978610210572924,6.421680222637756,6.8664977255184,7.250731942775547,7.502231260220279
base_case,33,5.345131590889951,5.5737933981407,5.971330616003924,6.422122174229888,6.8661995137329646,7.245082917392242,7.471482966563781
base_case,34,5.3368265232610455,5.584336221946882,5.975984872203352,6.4158022917901825,6.871915397163171,7.260993025886024,7.478184386330697
base_case,35,5.346277858699284,5.598235045181815,5.987405541395512,6.416875235185072,6.874587736515435,7.254549884200021,7.490948561602867
base_case,36,5.34283268420334,5.595796163242338,5.985443561584434,6.423973476201434,6.881238684612352,7.2669676645472885,7.52183621601091
base_case,37,5.363245269317033,5.60248014100651,5.981656142987006,6.4341631292999,6.872285481889567,7.292059528991465,7.5254110729127355
base_case,38,5.359066464176748,5.591858395373245,5.9918537986803875,6.420974740552543,6.871906201462529,7.290659404743254,7.551966858200881
base_case,39,5.347031012832652,5.588873624324083,5.9898237611479335,6.431905107281937,6.8767893607980675,7.275305064671035,7.5512681030830375
base_case,40,5.339175536672325,5.584751467990792,5.983740008044769,6.435002601572936,6.897402925415048,7.286870718592199,7.54871349598763
base_case,41,5.325957348235969,5.583546789124996,5.99195420969329,6.44047155166854,6.887068525519471,7.283274486313278,7.543337901007839
base_case,42,5.326458545625282,5.574668245944732,5.992246260139348,6.430740733653963,6.885858673542254,7.285682461317105,7.5450338865745294
base_case,43,5.3261437309171455,5.566004555248331,5.987012399809068,6.433999464542053,6.894902699591956,7.291494233726147,7.537713502703632
base_case,44,5.336850685302433,5.578447900554773,5.977350152229516,6.444498352877112,6.899717729767954,7.2833108812207765,7.543615794745176
base_case,45,5.303065687759377,5.557191320788373,5.971841647018129,6.442835743023979,6.879325213551737,7.281021450563754,7.515184593290555
base_case,46,5.314933214818844,5.559546865125138,5.987792381710771,6.435665504803225,6.888716242577619,7.28718068770351,7.520798439740069
base_case,47,5.32357878855435,5.551060895157014,5.978243703663889,6.438705906461206,6.889924609851774,7.297924320414291,7.544663724799335
base_case,48,5.317247908626788,5.55854589861123,5.983702271433366,6.439240218473695,6.88583438859975,7.306127426359401,7.560376595705812
base_case,49,5.322461055723037,5.553121588970042,5.98019138559801,6.425680242754522,6.887589009807891,7.291008601870166,7.5352503810420055
base_case,50,5.32098468693541,5.5503226830540715,5.966341441268492,6.425279701578768,6.885461911431461,7.301750830172212,7.532755800581722
base_case,51,5.333994582431334,5.567351187514766,5.971401600832527,6.424555964366927,6.886403565684134,7.297203730511877,7.541750505256709
base_case,52,5.312059858723567,5.555617824002633,5.974177591185724,6.426196024852134,6.8786713519565605,7.300482972966693,7.53097598000185
financial_stress,1,5.873584800213519,5.968504213502816,6.12220681648743,6.296548409299405,6.46845491605783,6.630278626963727,6.73282273378149
financial_stress,2,5.7206985520574305,5.848531900201635,6.058455629548564,6.314868374331011,6.575317660983372,6.793045129114853,6.937218942074482
financial_stress,3,5.612384716468567,5.7758352213926045,6.039866434799168,6.340671398276718,6.658430623638877,6.929541032004501,7.07715061189329
financial_stress,4,5.5379202410123325,5.721511363341849,6.032311713988137,6.374651032557352,6.721895531157447,7.041261429234918,7.224344916064364
financial_stress,5,5.464640912771176,5.671207622880376,6.027059279173503,6.39669722166015,6.792767422009922,7.144198869377491,7.349479980070692
financial_stress,6,5.40795130199269,5.630120802023454,6.026400319606234,6.436369495189664,6.854649022842225,7.219930350857531,7.433577790657957
financial_stress,7,5.367746564806507,5.607082068768036,6.016421715461703,6.448908804281489,6.906419060555555,7.297766435638808,7.510632906107985
financial_stress,8,5.2854088280203415,5.5678951741112215,5.996888924296759,6.467568754461994,6.939203156564789,7.351533072948646,7.597501996092024
financial_stress,9,5.272431430096532,5.5434078964214155,5.985505548004318,6.492807088925311,6.989497186614004,7.422263434341923,7.674520292056955
financial_stress,10,5.237589144892343,5.51986027558529,5.9833524869674,6.507746824682607,7.015864914554733,7.476217555850365,7.725251933790829
financial_stress,11,5.202603300339202,5.473377562861375,5.97470921908487,6.521579791936113,7.049602293075559,7.547628668030517,7.8105059960476195
financial_stress,12,5.161172549436856,5.458873881483142,5.965576998369008,6.528342139512011,7.071712173512618,7.5613585081547035,7.873453558875408
financial_stress,13,5.1548389359720925,5.442986663853406,5.953372456678958,6.534527024476217,7.112820453807812,7.619726448202089,7.921721011713925
financial_stress,14,5.111414612400106,5.415685665273008,5.958772533043272,6.549104765488991,7.116903330912547,7.658912205748815,7.9700832395613705
financial_stress,15,5.111141055086414,5.437455941937797,5.958406946820417,6.544689873129684,7.139254844894083,7.66170378268579,8.000774295045618
financial_stress,16,5.055503718031773,5.403885715400407,5.932856350048923,6.569959762352557,7.16886468873966,7.714012578574473,8.055045965662952
