week,p05,p10,p25,p50,p75,p90,p95
1,5.989397484402414,6.053875005541811,6.158162526318873,6.269226324278591,6.384406664938886,6.487316751959449,6.5573718387264215
2,5.88502681332254,5.969295896112036,6.115756271729922,6.282480483888018,6.441756187440327,6.588747169497641,6.69191697589697
3,5.819677039917265,5.9256997866559695,6.100422952412563,6.301049624813695,6.492672920810611,6.685601197028346,6.794746565774867
4,5.757198276366822,5.888499672575462,6.0878285636843605,6.3083347621623425,6.532327328637648,6.747756761991596,6.882907807833382
5,5.701075425385703,5.8493767371129115,6.075392648309302,6.322164916494814,6.568099715756627,6.803857041250169,6.953706807916676
6,5.649053597908139,5.794575725148326,6.0597379746979145,6.335417293575962,6.5986728233397525,6.854305329782752,7.0220682057468045
7,5.625551695599675,5.783919677501129,6.0473538110780485,6.335525535470207,6.63475312104195,6.889946475565374,7.077935723643335
8,5.5962379254036065,5.75896462457844,6.025994172488312,6.345980564019353,6.653487300102069,6.9444549097065424,7.1455883876259865
9,5.547043476970541,5.728323666081465,6.022625979643395,6.348759722307722,6.676975486700836,6.988180009436778,7.176308462420056
10,5.534819455824032,5.708939535529294,6.011694819736212,6.357961339754386,6.712182221310555,7.022458166486359,7.230962807256327
11,5.498866999326485,5.680011050316408,5.9956815086996595,6.36229883493805,6.722810925103564,7.069375546993053,7.281985064282743
12,5.4733939743545985,5.672595318338305,5.9909276845678905,6.362970756441719,6.757353393375631,7.114641960784464,7.321457396651026
13,5.437283890096959,5.650611835582971,5.992264154716996,6.3707468173137425,6.769856321698988,7.134836397991115,7.350104818197717
14,5.4334209341869615,5.6538391576513325,5.988594806875303,6.376178889465052,6.788322518199431,7.165044438613544,7.393122393173295
15,5.406480741250142,5.643525710520636,5.983472012539929,6.384013352271015,6.803254773494515,7.168443467553803,7.399391143999643
16,5.401631944726865,5.619282493784009,5.994963492516817,6.382840259552283,6.813701130150013,7.184768381504518,7.403362300895017
17,5.36218523228068,5.611762507000876,5.990131763907647,6.4016390003755665,6.81742611996872,7.206850793918104,7.459787495570729
