week,p05,p10,p25,p50,p75,p90,p95,economic_view
1,5.9984447202679725,6.054028571085228,6.152849604526467,6.267223793527146,6.381254707396482,6.481671424869319,6.544096751112481,current_view
2,5.87028745401428,5.960218577064291,6.113263313238079,6.273309056571972,6.434755852090245,6.589542005601697,6.684064713679259,current_view
3,5.803671670651487,5.917800018100019,6.087314151020007,6.287494747884783,6.484944595751021,6.664240882243736,6.792702039973109,current_view
4,5.749704360176195,5.871218227477997,6.07083754040795,6.297469159413893,6.513605291043862,6.738023683885317,6.892563889596392,current_view
5,5.710063290808643,5.828820174829572,6.040605020207731,6.298899885743118,6.562823805694073,6.80389785987161,6.950476989325131,current_view
6,5.6670680120815895,5.8129322389978855,6.031999088817695,6.306817929474191,6.593512008730265,6.852777707444648,7.023207367533291,current_view
7,5.644519267985838,5.78224673276589,6.027071166485646,6.316663352737944,6.6068706337626395,6.889743296519293,7.089402112062661,current_view
8,5.578084799271462,5.7448218868601035,6.016865225137165,6.332294205272104,6.638500046594494,6.932251690450262,7.132798381495256,current_view
9,5.550849896943745,5.715548775093577,6.01050018790591,6.345423536581389,6.663352446421987,6.971068031252871,7.176987645270383,current_view
10,5.522334033644834,5.700607504743857,6.005302398490323,6.341262984095553,6.678013421285167,6.9951757426176115,7.224307363151152,current_view
11,5.463873283309702,5.695031114019131,6.002643640198044,6.344877064195261,6.693706642798262,7.036362789833223,7.23043478016762,current_view
12,5.463485889812251,5.669185163239387,6.002505983355919,6.3430356554718115,6.721774085864304,7.064933235954932,7.292151911369665,current_view
13,5.444325122232463,5.677725512047215,6.005576996975081,6.348055120620989,6.737028092579282,7.10220392796688,7.301633102339081,current_view
14,5.4271460413989905,5.658173420063143,5.995119324741026,6.352669129748035,6.741241656695303,7.110630321338947,7.33784733877658,current_view
15,5.400338592919028,5.6491688612271425,5.977546080834156,6.357707873936537,6.748295240975002,7.1235417740306275,7.351125190465583,current_view
16,5.381918024797984,5.639563514962768,5.974561777390334,6.362168763746473,6.764333774133686,7.144732161601188,7.397026411762014,current_view
17,5.368306925541779,5.614527884934951,5.979860727024455,6.369014890321888,6.781385519511865,7.169774316885107,7.401619675905331,current_view
18,5.376462975074725,5.608809302499017,5.965687899958045,6.370075301559251,6.802769062447819,7.197122016003735,7.434759892646399,current_view
19,5.343490542158934,5.589523908394909,5.958295110221387,6.379270738337939,6.8080123454094545,7.201283140563343,7.470390221427657,current_view
20,5.336550211564708,5.578549264826666,5.9653536076880584,6.367458557414459,6.815980057088427,7.234192227429275,7.487640207239695,current_view
21,5.359885357176711,5.58486324266568,5.9585832052696555,6.379761327436871,6.823358066535073,7.24753165419918,7.512058616876405,current_view
