scenario,week,p05,p10,p25,p50,p75,p90,p95
base_case,1,5.985488866139988,6.038073327509872,6.137778477257537,6.251083853552895,6.358782713453192,6.45833163486595,6.5226749231263
base_case,2,5.863651866554025,5.951207667983873,6.084821482872216,6.244114088187491,6.4008470409180696,6.543857239848731,6.642141418928202
base_case,3,5.782842233594195,5.877160177323775,6.04495265851028,6.2455118231093,6.445259213985427,6.620532512907333,6.72558470986972
base_case,4,5.705470482402373,5.823650288796106,6.020188555231931,6.249490010977374,6.474221932282417,6.678033985164009,6.804870323072903
base_case,5,5.644846865530242,5.777895176890619,5.993474435066119,6.249719482086864,6.504486401267119,6.729131716721927,6.880158913731625
base_case,6,5.606339770455869,5.735892394781508,5.974754172281366,6.2452728135322175,6.530231998369472,6.766832789983807,6.911335272501147
base_case,7,5.558153384514829,5.7045751186184495,5.9498458978425095,6.248354619530978,6.553895419021184,6.814751494715258,6.966829070046404
base_case,8,5.521283405373859,5.662388827453768,5.929822748290257,6.253193236096317,6.565860678577309,6.848568410883878,7.028356955257179
base_case,9,5.464365120745385,5.62938883550848,5.911168314637364,6.249469509923722,6.5823926863877045,6.881477712562248,7.065703386330934
base_case,10,5.412175286952616,5.596814407151982,5.8916572237983145,6.248727427083224,6.60318110733082,6.918854027788628,7.122097980131558
base_case,11,5.3796713483145755,5.565437557565418,5.884458339902071,6.2603116198014925,6.607872409167799,6.94818012104865,7.145640983707103
base_case,12,5.349444612447864,5.540348720987803,5.870410489353413,6.2544814481073345,6.625325250756228,6.978189231170004,7.186511129695426
base_case,13,5.315184722894819,5.502965845158101,5.846004822343111,6.256665280006757,6.637669863253027,7.004909792664988,7.231022636814999
base_case,14,5.274600124143708,5.475967294514705,5.833375278752281,6.2520918939270835,6.652630706251877,7.045383256198098,7.261002228426458
base_case,15,5.2344360153826806,5.4631242470532415,5.821839199250649,6.248422037384149,6.666221915385005,7.062647056117691,7.314353731653458
base_case,16,5.201968656287749,5.434685875823405,5.809967114324703,6.245769903907776,6.68936493027609,7.0829612377752165,7.327361205907437
base_case,17,5.169285830591391,5.418078172408862,5.815222303614286,6.242326840617396,6.701363290865758,7.119757948256919,7.368859133297529
base_case,18,5.132384553870482,5.390000832984086,5.797792473681697,6.247868122669121,6.705261062577839,7.133623944318783,7.387479533510534
