week_date,actual,predicted,baseline
2016-12-01,4.13,4.08,4.08
2016-12-08,4.16,4.13,4.13
2016-12-15,4.3,4.16,4.16
2016-12-22,4.32,4.3,4.3
2016-12-29,4.2,4.32,4.32
2017-01-05,4.12,4.2,4.2
2017-01-12,4.09,4.12,4.12
2017-01-19,4.19,4.09,4.09
2017-01-26,4.19,4.19,4.19
2017-02-02,4.17,4.19,4.19
2017-02-09,4.15,4.17,4.17
2017-02-16,4.16,4.15,4.15
2017-02-23,4.1,4.16,4.16
2017-03-02,4.21,4.1,4.1
2017-03-09,4.3,4.21,4.21
2017-03-16,4.23,4.3,4.3
2017-03-23,4.14,4.23,4.23
2017-03-30,4.1,4.14,4.14
2017-04-06,4.08,4.1,4.1
2017-04-13,3.97,4.08,4.08
2017-04-20,4.03,3.97,3.97
2017-04-27,4.02,4.03,4.03
2017-05-04,4.05,4.02,4.02
2017-05-11,4.02,4.05,4.05
2017-05-18,3.95,4.02,4.02
2017-05-25,3.94,3.95,3.95
2017-06-01,3.89,3.94,3.94
2017-06-08,3.91,3.89,3.89
2017-06-15,3.9,3.91,3.91
2017-06-22,3.88,3.9,3.9
2017-06-29,3.96,3.88,3.88
2017-07-06,4.03,3.96,3.96
2017-07-13,3.96,4.03,4.03
2017-07-20,3.92,3.96,3.96
2017-07-27,3.93,3.92,3.92
2017-08-03,3.9,3.93,3.93
2017-08-10,3.89,3.8999999999999995,3.9
2017-08-17,3.86,3.89,3.89
2017-08-24,3.82,3.86,3.86
2017-08-31,3.78,3.8199999999999994,3.82
2017-09-07,3.78,3.78,3.78
2017-09-14,3.83,3.78,3.78
2017-09-21,3.83,3.83,3.83
2017-09-28,3.85,3.83,3.83
2017-10-05,3.91,3.85,3.85
2017-10-12,3.88,3.91,3.91
2017-10-19,3.94,3.88,3.88
2017-10-26,3.94,3.94,3.94
2017-11-02,3.9,3.9400000000000004,3.94
2017-11-09,3.95,3.9,3.9
2017-11-16,3.92,3.95,3.95
2017-11-22,3.9,3.92,3.92
2017-11-30,3.94,3.9,3.9
2017-12-07,3.93,3.94,3.94
2017-12-14,3.94,3.93,3.93
2017-12-21,3.99,3.94,3.94
2017-12-28,3.95,3.99,3.99
2018-01-04,3.99,3.95,3.95
2018-01-11,4.04,3.99,3.99
2018-01-18,4.15,4.04,4.04
2018-01-25,4.22,4.15,4.15
2018-02-01,4.32,4.22,4.22
2018-02-08,4.38,4.32,4.32
2018-02-15,4.4,4.38,4.38
2018-02-22,4.43,4.4,4.4
2018-03-01,4.46,4.43,4.43
2018-03-08,4.44,4.46,4.46
2018-03-15,4.45,4.44,4.44
2018-03-22,4.44,4.45,4.45
2018-03-29,4.4,4.44,4.44
2018-04-05,4.42,4.4,4.4
2018-04-12,4.47,4.42,4.42
2018-04-19,4.58,4.47,4.47
2018-04-26,4.55,4.58,4.58
2018-05-03,4.55,4.55,4.55
2018-05-10,4.61,4.55,4.55
2018-05-17,4.66,4.61,4.61
2018-05-24,4.56,4.66,4.66
2018-05-31,4.54,4.56,4.56
2018-06-07,4.62,4.54,4.54
2018-06-14,4.57,4.62,4.62
2018-06-21,4.55,4.57,4.57
2018-06-28,4.52,4.55,4.55
2018-07-05,4.53,4.52,4.52
2018-07-12,4.52,4.53,4.53
2018-07-19,4.54,4.52,4.52
2018-07-26,4.6,4.54,4.54
2018-08-02,4.59,4.6,4.6
2018-08-09,4.53,4.59,4.59
2018-08-16,4.51,4.53,4.53
2018-08-23,4.52,4.51,4.51
2018-08-30,4.54,4.52,4.52
2018-09-06,4.6,4.54,4.54
2018-09-13,4.65,4.6,4.6
2018-09-20,4.72,4.65,4.65
2018-09-27,4.71,4.72,4.72
2018-10-04,4.9,4.71,4.71
2018-10-11,4.85,4.9,4.9
2018-10-18,4.86,4.85,4.85
2018-10-25,4.83,4.86,4.86
2018-11-01,4.94,4.83,4.83
2018-11-08,4.94,4.94,4.94
2018-11-15,4.81,4.94,4.94
2018-11-21,4.81,4.81,4.81
2018-11-29,4.75,4.81,4.81
2018-12-06,4.63,4.75,4.75
2018-12-13,4.62,4.63,4.63
2018-12-20,4.55,4.62,4.62
2018-12-27,4.51,4.55,4.55
2019-01-03,4.45,4.51,4.51
2019-01-10,4.45,4.45,4.45
2019-01-17,4.45,4.45,4.45
2019-01-24,4.46,4.45,4.45
2019-01-31,4.41,4.46,4.46
2019-02-07,4.37,4.41,4.41
2019-02-14,4.35,4.37,4.37
2019-02-21,4.35,4.35,4.35
2019-02-28,4.41,4.35,4.35
2019-03-07,4.31,4.41,4.41
2019-03-14,4.28,4.31,4.31
2019-03-21,4.06,4.28,4.28
2019-03-28,4.08,4.06,4.06
2019-04-04,4.12,4.08,4.08
2019-04-11,4.17,4.12,4.12
2019-04-18,4.2,4.17,4.17
2019-04-25,4.14,4.2,4.2
2019-05-02,4.1,4.14,4.14
2019-05-09,4.07,4.1,4.1
2019-05-16,4.06,4.07,4.07
2019-05-23,3.99,4.06,4.06
2019-05-30,3.82,3.99,3.99
2019-06-06,3.82,3.8199999999999994,3.82
2019-06-13,3.84,3.82,3.82
2019-06-20,3.73,3.84,3.84
2019-06-27,3.75,3.73,3.73
2019-07-03,3.75,3.75,3.75
2019-07-11,3.81,3.75,3.75
2019-07-18,3.75,3.81,3.81
2019-07-25,3.75,3.75,3.75
2019-08-01,3.6,3.75,3.75
2019-08-08,3.6,3.5999999999999996,3.6
2019-08-15,3.55,3.6,3.6
2019-08-22,3.58,3.55,3.55
2019-08-29,3.49,3.58,3.58
2019-09-05,3.56,3.49,3.49
2019-09-12,3.73,3.56,3.56
2019-09-19,3.64,3.73,3.73
2019-09-26,3.65,3.6399999999999997,3.64
2019-10-03,3.57,3.65,3.65
2019-10-10,3.69,3.57,3.57
2019-10-17,3.75,3.69,3.69
2019-10-24,3.78,3.75,3.75
2019-10-31,3.69,3.78,3.78
2019-11-07,3.75,3.69,3.69
2019-11-14,3.66,3.75,3.75
2019-11-21,3.68,3.66,3.66
2019-11-27,3.68,3.6799999999999997,3.68
2019-12-05,3.73,3.6799999999999997,3.68
2019-12-12,3.73,3.73,3.73
2019-12-19,3.74,3.73,3.73
2019-12-26,3.72,3.74,3.74
2020-01-02,3.64,3.72,3.72
