week_date,actual,predicted,baseline
2025-04-10,6.83,6.859085309547185,6.62
2025-04-17,6.81,6.79535828507833,6.83
2025-04-24,6.76,6.731063952081601,6.81
2025-05-01,6.76,6.769338461822666,6.76
2025-05-08,6.81,6.728148419398575,6.76
2025-05-15,6.86,6.837662284870588,6.81
2025-05-22,6.89,6.936104307045135,6.86
2025-05-29,6.85,6.818628240631244,6.89
2025-06-05,6.84,6.793337469155357,6.85
2025-06-12,6.81,6.732102950788151,6.84
2025-06-18,6.77,6.830867249877743,6.81
2025-06-26,6.67,6.779751926664503,6.77
2025-07-03,6.72,6.742094371858327,6.67
2025-07-10,6.75,6.712508173759813,6.72
2025-07-17,6.74,6.795737415586924,6.75
2025-07-24,6.72,6.7079374467248485,6.74
2025-07-31,6.63,6.673312926961383,6.72
2025-08-07,6.58,6.623352231760941,6.63
2025-08-14,6.58,6.588877041442434,6.58
2025-08-21,6.56,6.538395576757887,6.58
2025-08-28,6.5,6.523889038718855,6.56
2025-09-04,6.35,6.486030574570497,6.5
2025-09-11,6.26,6.318521503852824,6.35
2025-09-18,6.3,6.299635254218206,6.26
2025-09-25,6.34,6.365275035751638,6.3
2025-10-02,6.3,6.285052302460351,6.34
2025-10-09,6.27,6.385595566681469,6.3
2025-10-16,6.19,6.185029240009825,6.27
2025-10-23,6.17,6.183186582742886,6.19
2025-10-30,6.22,6.248970228114838,6.17
2025-11-06,6.24,6.240823998033725,6.22
2025-11-13,6.26,6.298996916301811,6.24
2025-11-20,6.23,6.287527096531413,6.26
2025-11-26,6.19,6.126967767584728,6.23
2025-12-04,6.22,6.235553396432856,6.19
2025-12-11,6.21,6.232055810941133,6.22
2025-12-18,6.18,6.183336352674502,6.21
2025-12-24,6.15,6.225706791287669,6.18
2025-12-31,6.16,6.1580797633493445,6.15
2026-01-08,6.06,6.156294835215442,6.16
2026-01-15,6.09,6.091767743161943,6.06
2026-01-22,6.1,6.129054501872791,6.09
2026-01-29,6.11,6.083591137915236,6.1
