week_date,actual,predicted,baseline
2025-04-10,6.83,6.705732182827591,6.62
2025-04-17,6.81,6.813830330738349,6.83
2025-04-24,6.76,6.803644066088597,6.81
2025-05-01,6.76,6.760117425835527,6.76
2025-05-08,6.81,6.772664392064552,6.76
2025-05-15,6.86,6.827815310648133,6.81
2025-05-22,6.89,6.894022218977008,6.86
2025-05-29,6.85,6.884545205415509,6.89
2025-06-05,6.84,6.844763132909701,6.85
2025-06-12,6.81,6.823367265737663,6.84
2025-06-18,6.77,6.807595609115056,6.81
2025-06-26,6.67,6.737866679210456,6.77
2025-07-03,6.72,6.693122737500159,6.67
2025-07-10,6.75,6.720370713721747,6.72
2025-07-17,6.74,6.778822490980243,6.75
2025-07-24,6.72,6.751420927070306,6.74
2025-07-31,6.63,6.715079417748651,6.72
2025-08-07,6.58,6.6046601555547335,6.63
2025-08-14,6.58,6.5808380226046985,6.58
2025-08-21,6.56,6.587469234710136,6.58
2025-08-28,6.5,6.532119337476408,6.56
2025-09-04,6.35,6.495016968957236,6.5
2025-09-11,6.26,6.314202916370848,6.35
2025-09-18,6.3,6.272496095298752,6.26
2025-09-25,6.34,6.316508301673111,6.3
2025-10-02,6.3,6.327183745036998,6.34
2025-10-09,6.27,6.323299666023696,6.3
2025-10-16,6.19,6.251280368921797,6.27
2025-10-23,6.17,6.180544811754183,6.19
2025-10-30,6.22,6.197601415084416,6.17
2025-11-06,6.24,6.225919115274869,6.22
2025-11-13,6.26,6.257463181652391,6.24
2025-11-20,6.23,6.2770414381093005,6.26
2025-11-26,6.19,6.1935201979760395,6.23
2025-12-04,6.22,6.206094290628293,6.19
2025-12-11,6.21,6.222616511825222,6.22
2025-12-18,6.18,6.210643970152574,6.21
2025-12-24,6.15,6.196085735239469,6.18
2025-12-31,6.16,6.161467374708702,6.15
2026-01-08,6.06,6.164728354612373,6.16
2026-01-15,6.09,6.071250793456163,6.06
2026-01-22,6.1,6.114238935742809,6.09
2026-01-29,6.11,6.102542511090022,6.1
