week_date,actual,predicted,baseline
2025-04-10,6.83,6.82489188283682,6.62
2025-04-17,6.81,6.749117625802755,6.83
2025-04-24,6.76,6.697327758595348,6.81
2025-05-01,6.76,6.748638255745172,6.76
2025-05-08,6.81,6.6790494697541,6.76
2025-05-15,6.86,6.770351841524243,6.81
2025-05-22,6.89,6.970100917518139,6.86
2025-05-29,6.85,6.7788457044959065,6.89
2025-06-05,6.84,6.7663142330944535,6.85
2025-06-12,6.81,6.700803458839655,6.84
2025-06-18,6.77,6.836163420407102,6.81
2025-06-26,6.67,6.775702763795852,6.77
2025-07-03,6.72,6.773594746440649,6.67
2025-07-10,6.75,6.74187081426382,6.72
2025-07-17,6.74,6.823326021694811,6.75
2025-07-24,6.72,6.679232198521495,6.74
2025-07-31,6.63,6.659664483070374,6.72
2025-08-07,6.58,6.645954211354256,6.63
2025-08-14,6.58,6.591874823831022,6.58
2025-08-21,6.56,6.5584440360963345,6.58
2025-08-28,6.5,6.560450201332569,6.56
2025-09-04,6.35,6.4941500667482615,6.5
2025-09-11,6.26,6.36854845136404,6.35
2025-09-18,6.3,6.334995884322561,6.26
2025-09-25,6.34,6.336767390556633,6.3
2025-10-02,6.3,6.284325998425484,6.34
2025-10-09,6.27,6.404413155466318,6.3
2025-10-16,6.19,6.148148153424263,6.27
2025-10-23,6.17,6.190384703278542,6.19
2025-10-30,6.22,6.256277950555086,6.17
2025-11-06,6.24,6.22687088817358,6.22
2025-11-13,6.26,6.307206816747785,6.24
2025-11-20,6.23,6.282860033903271,6.26
2025-11-26,6.19,6.096075851023198,6.23
2025-12-04,6.22,6.16685926721897,6.19
2025-12-11,6.21,6.169445667210966,6.22
2025-12-18,6.18,6.132832656651735,6.21
2025-12-24,6.15,6.185436720792204,6.18
2025-12-31,6.16,6.128424139320851,6.15
2026-01-08,6.06,6.1091848195903005,6.16
2026-01-15,6.09,6.0588441374152895,6.06
2026-01-22,6.1,6.100542921721935,6.09
2026-01-29,6.11,6.058304572850465,6.1
