column_name,rows,non_null_values,null_values,min_value,max_value
week_date,1896,1896,0,,
MORTGAGE30US,1896,1896,0,2.65,10.67
NFCI,1896,1896,0,-1.099,3.061
DGS10,1896,1896,0,0.55,9.06
DGS2,1896,1896,0,0.11,8.98
DGS3MO,1896,1896,0,0.0,8.26
DGS5,1896,1896,0,0.21,9.06
DGS30,1896,1896,0,1.18,9.17
DFII10,1896,1218,678,-1.15,3.06
T10YIE,1896,1218,678,0.04,3.02
BAMLH0A0HYM2,1896,157,1739,2.6,4.95
BAMLC0A4CBBB,1896,157,1739,0.93,1.85
VIXCLS,1896,1896,0,9.19,80.86
DTWEXBGS,1896,1061,835,85.8245,129.4598
DCOILWTICO,1896,1896,0,10.86,145.31
FEDFUNDS,1896,1892,4,0.05,8.29
BAA,1896,1892,4,3.16,10.74
AAA,1896,1892,4,2.14,9.56
CPIAUCSL,1896,1892,4,127.5,330.293
CPILFESL,1896,1892,4,132.1,334.165
PCEPI,1896,1892,4,58.553,130.344
PCEPILFE,1896,1892,4,59.181,129.279
UNRATE,1896,1892,4,3.4,14.8
PAYEMS,1896,1892,4,108253.0,158637.0
INDPRO,1896,1892,4,60.3346,104.1004
HOUST,1896,1892,4,478.0,2273.0
PERMIT,1896,1892,4,513.0,2263.0
mortgage_spread,1896,1896,0,0.9699999999999998,3.2600000000000002
yield_curve_10y_2y,1896,1896,0,-1.02,2.89
yield_curve_10y_3mo,1896,1896,0,-1.8900000000000001,3.8499999999999996
yield_curve_30y_10y,1896,1896,0,-0.33999999999999986,1.6
breakeven_real_gap,1896,1218,678,-3.02,3.87
credit_spread_baa_aaa,1896,1892,4,0.5099999999999998,3.38
credit_spread_baa_10y,1896,1892,4,1.04,7.130000000000001
credit_spread_aaa_10y,1896,1892,4,0.14999999999999947,4.04
mortgage30us_chg_1w,1896,1895,1,-0.46999999999999975,0.5499999999999998
mortgage30us_chg_4w,1896,1892,4,-0.8499999999999996,1.04
dgs10_chg_1w,1896,1895,1,-0.7399999999999998,0.5700000000000003
dgs10_chg_4w,1896,1892,4,-1.2000000000000002,0.8600000000000003
dgs2_chg_1w,1896,1895,1,-0.7600000000000007,0.6399999999999997
dgs2_chg_4w,1896,1892,4,-1.0800000000000005,0.9699999999999998
dgs3mo_chg_1w,1896,1895,1,-1.3800000000000001,0.67
dgs3mo_chg_4w,1896,1892,4,-1.5700000000000003,0.8300000000000001
dgs5_chg_1w,1896,1895,1,-0.4999999999999998,0.6200000000000001
dgs5_chg_4w,1896,1892,4,-0.95,0.9000000000000004
dgs30_chg_1w,1896,1895,1,-0.6999999999999997,0.41999999999999993
dgs30_chg_4w,1896,1892,4,-1.27,0.8799999999999999
mortgage_spread_chg_1w,1896,1895,1,-0.5999999999999996,0.7399999999999993
mortgage_spread_chg_4w,1896,1892,4,-0.6200000000000001,0.7000000000000002
vixcls_chg_1w,1896,1895,1,-25.939999999999998,35.85
vixcls_chg_4w,1896,1892,4,-33.8,61.32
nfci_chg_1w,1896,1895,1,-0.1589999999999998,0.2829999999999999
nfci_chg_4w,1896,1892,4,-0.5870000000000002,1.0939999999999999
dgs10_roll_mean_4w,1896,1893,3,0.5775,8.8975
dgs10_roll_mean_12w,1896,1885,11,0.6416666666666666,8.801666666666668
dgs10_roll_std_4w,1896,1893,3,0.005000000008974558,0.5355993527505317
dgs10_roll_std_12w,1896,1885,11,0.04351070923702202,0.7354343181846701
mortgage_spread_roll_mean_4w,1896,1893,3,1.1075000000000002,3.0075000000000003
mortgage_spread_roll_mean_12w,1896,1885,11,1.1666666666666667,2.9341666666666666
mortgage_spread_roll_std_4w,1896,1893,3,0.0057735026918987065,0.3436446808356925
mortgage_spread_roll_std_12w,1896,1885,11,0.029644356609457547,0.3489323543020663
vixcls_roll_mean_4w,1896,1893,3,9.58,66.8175
vixcls_roll_mean_12w,1896,1885,11,10.264999999999999,61.12833333333334
vixcls_roll_std_4w,1896,1893,3,0.07527726529037235,24.713191315570764
vixcls_roll_std_12w,1896,1885,11,0.4111919112510702,24.715532274382856
nfci_roll_mean_4w,1896,1893,3,-1.0967500000000001,3.03525
nfci_roll_mean_12w,1896,1885,11,-1.0805,2.8400833333333337
nfci_roll_std_4w,1896,1893,3,0.0,0.36264158154666715
nfci_roll_std_12w,1896,1885,11,0.0015050420308543354,0.785856235406494
mortgage_spread_roll_mean_5y,1896,1637,259,1.3408846153846155,2.3446153846153845
mortgage_spread_gap_vs_5y_avg,1896,1637,259,-0.7237692307692305,1.3823846153846155
target_dgs10_chg_1w,1896,1895,1,-0.7399999999999998,0.5700000000000003
target_dgs10_chg_4w,1896,1892,4,-1.2000000000000002,0.8600000000000003
target_dgs10_chg_12w,1896,1884,12,-1.7999999999999998,1.56
target_spread_chg_1w,1896,1895,1,-0.5999999999999996,0.7399999999999993
target_spread_chg_4w,1896,1892,4,-0.6200000000000001,0.7000000000000002
target_spread_chg_12w,1896,1884,12,-1.08,1.0400000000000005
target_mortgage_rate_chg_1w,1896,1895,1,-0.46999999999999975,0.5499999999999998
target_mortgage_rate_chg_4w,1896,1892,4,-0.8499999999999996,1.04
target_mortgage_rate_chg_12w,1896,1884,12,-1.4500000000000002,2.09
